Stadtteil_ID,Stadtteil,2018_Anzahl,2018_Anteil,2019_Anzahl,2019_Anteil,2020_Anzahl,2020_Anteil,2021_Anzahl,2021_Anteil
1,Altstadt,115,"38,6",124,"38,5",118,"36,5",98,32
2,Neustadt,262,"46,8",297,"48,8",299,"49,9",307,"48,3"
3,Nordstadt,675,"39,2",659,"37,3",626,"34,6",585,"32,2"
4,Westliche_Höhe,212,"20,2",228,"21,5",214,"21,4",215,"20,7"
5,Friesischer_Berg,192,"27,2",188,"25,5",161,23,156,"23,5"
6,Weiche,166,"12,8",155,"12,2",176,"14,2",170,"13,2"
7,Südstadt,192,"35,6",202,"39,1",187,"36,8",171,"33,1"
8,Sandberg,107,"22,2",124,"24,3",120,"21,6",139,"24,7"
9,Jürgensby,207,"25,7",218,26,231,"28,3",211,"26,3"
10,Fruerlund,215,"24,5",232,"26,5",231,"25,8",223,26
11,Mürwik,447,24,487,"25,3",470,"23,7",441,"22,5"
12,Engelsby,252,"25,3",271,"27,3",243,"24,5",236,"22,6"
13,Tarup,23,"2,4",24,"2,5",31,"3,2",30,"2,9"